seatno	assignment	score	grade	comment
045	W07	208	84	  今天請到的是微軟的李講師，在兩節課中，他前面花了蠻長一段時間好好講解態度的重要性，他因為態度問題接二連三的換了三間公司，而待遇也都是越來越好，積極面對問題的態度讓他在職場上是如魚得水，最後也進了微軟這樣的大公司，這態度值得我們學習，而他也提到除了精通一樣專才外，如果有能力的話最好能再多學一點同領域的相關知識，在職場上，精通一樣的人才和各領域都會的通才，後者是企業比較愛用的。第二堂課我們在azure的雲端上初步架設了一個屬於自己的伺服器，也算是一個蠻新穎的體驗。  
046	W07	222	88	  今天講師講解有關Azure Data Services，講師的ppt畫面的非常乾淨，內容一目了然，讓人看了很舒服，且講話口齒清晰，能吸引人比較專心聽課。只是突然說要考試讓人沒有時間準備。Azure Data Services，主要就是雲端資料庫，分為關聯是資料與非關聯式資料庫，關聯式資料庫其特色就是加速內部部署SQL Server 移轉的速度，而不需變更受控執行個體的應用程式程式碼。隨時取得位於雲端的最新 SQL Server 功能和常保最新的SQL資料庫，而不必修補或升級，使用安全、可靠且經過實證的AI技術，保障尖峰的資料庫效能和耐用性。使用自訂的自動調整建議，將應用程式的效能最大化，可依需求調整應用程式，正常運作時間高達 99.995%。利用支援高達 100TB 的超大規模資料庫，並在幾分鐘內還原大規模的資料庫。個別調整計算和儲存體資源，以取得最大的靈活性，並使用折扣後的可讀取複本來降低成本。Azure SQL Database 中內建的高可用性可確保資料庫絕對不會成為軟體架構中的單一失敗點。針對間歇並無法預測使用模式的資料庫，使用無伺服器 計算層將其性價比最佳化。非關聯式資料庫則是能夠水平「向外」延展，也能無需升級即可新增較便宜的伺服器。可讓開發人員更自由、快速且彈性地變更結構描述和查詢，以配合資料需求。儲存為彙總的資訊可更輕鬆快速地反覆改善，而不需要事先設計結構描述。  
048	W07	220	88	  今天10月22日邀請到微軟的李御安講師進行演講，在這堂課企業雲端應用趨勢與實務中，延續上次的Azure的介紹，今天主要在介紹微軟Azure的資料庫，一開始講師問了大家有學過那些資料庫的軟體或是語言，例如SQL server、MySQL等…然後因為也些檔案太多所以講師很好心的已經放在網站上給我們下載使用，雲端的概念就是，微軟有很多資料中心能夠做處理，在世界各地也都有，雖有些業者會請向使用google，因法律上的緣故，而香港和東南亞的資料中心是台灣地區的首選。延續上次的Azure的課程，並且了解到使用者的情境以及需求，接下來講師繼續教我們如何在微軟的Azure使用雲端的SQL，後來講師還教用哪些方式可以更快速的找到資料以及比較，今天講師主要是在講解雲端資料庫的功能跟介紹。  
049	W07	214	86	  開頭，講師先跟我們分享一些他的社會經驗，推薦我們把握時間到外面實習，他跟我們分享了一句話：「出社會的時候，做人比做事重要。」講師分享他在工作的時候，走比較全能的路線，只要同事請他做的工作，他都會做，為的是未來的自己會發現，當時的工作，其實都有很棒的效益回饋到自己身上。所以最重要的還是自己的態度。  本週課程主題是Azure雲端資料庫，它不需要硬體成本、可以彈性地擴展效能、可以在全球任何地方做部屬，最後它擁有智能化的軟硬體維護。後面實作的部分，利用Azure，可以使用原本學過的SQL語法執行想要的動作，將學習過的各種技術做整合應用，非常的有成就感！  
050	W07	191	77	  NoSQL 資料庫也稱為「非關聯式」、「NoSQL DB」或「非 SQL」，以強調它們能夠以不同於關聯式 (SQL) 資料庫 (利用資料列和資料表) 的方式，來處理大量快速變化的非結構化資料。NoSQL 技術大約從 1960 年代開始就已存在，但由於資料環境變化，開發人員必須做出調整才能處理雲端、行動裝置、社交媒體和巨量資料所產生數量龐大且種類繁多的資料，因此突然大受歡迎。從熱門名人推文到電子病歷中的救生資訊，迅速就能產生新的資料和資料類型。NoSQL 資料庫已發展成可協助開發人員快速建立資料庫系統，以儲存新的資訊，並讓該項資訊立即可供搜尋、彙總和分析。  Azure SQL Database 會管理您的資料庫，並保證其高可用性。 某些可能會影響高可用性或無法在 PaaS 世界中使用的功能，Azure SQL Database 中的功能有限。 此外，某些資料庫功能取決於您所建立的 Azure SQL Database 類型。 下表將說明這些功能。 使用 Azure SQL Database 時，您可以將資料庫建立為受控執行個體的一部分、作為單一資料庫，或為彈性集區的一部分。 如果您需要更多有關差異的詳細資料，您可以在單一資料庫和彈性集區的個別頁面中找到它們，或受控執行個體。  
051	W07	81	60	  今天是裡講師來介紹並動手操作:https://is.gd/MtFeCr、https://1drv.ms/u/s!AjhofhwS2b1_itUEgim3T15fAEv98w?e=JmnbSC。  一開始有在介紹一遍甚麼是IaaS、PaaS、SaaS，以及不同之處，NoSQL跟SQL比較起來較彈性，但沒有SQL能確保一致性，NoSQL格式彈性、讀取載入資料較快。     以及老闆在意的資料庫是高效能、資料安全性、高可用性及彈性，而這些服務比起企業自建，Azure 的雲端機房有很大的優勢。  Azure 雲端資料庫(PaaS)好處有:讓客戶更專注於企業應用的開發。     也介紹API(應用程式編程介面)，許多大型平台逐漸開放物件功能和資訊與其他網站進行串接。      Azure Cosmos DB : A globally distributed ,massively scalable,multi-model database service.  
052	W07	188	76	  Azure 雲端資料庫 (PaaS) 好處 : 讓客戶更專注於企業應用的開發  系統三層式架構  關聯式資料庫（DBMS） • 建立在關聯模型基礎上的資料庫，藉助於集合代數等數學概念和方法來處理資料庫中的資料。現實世界中 的各種實體以及實體之間的各種聯絡均用關聯模型來表示。 • 標準資料查詢語言 SQL 就是一種基於關聯式資料庫的語言，這種語言執行對關聯式資料庫中資料的檢索 和操作。 • ACID，是指資料庫管理系統在寫入或更新資料的過程中，為保證事務（transaction）是正確可靠的，所 必須具備的四個特性：不可分割性（Atomicity）、一致性（Consistency）、隔離性（Isolation，又稱獨 立性）、持久性（Durability）。  非關聯式資料庫 (NoSQL) • 非關聯式資料庫會使用針對所要儲存之資料類型的特定需求所最佳化的儲存體模型。 比方說， 資料可能會儲存為簡單的索引鍵/值組、JSON 文件，或包含邊緣和頂點的圖表。 • 這些資料存放區的共通點是它們都未使用關聯式模式。 比方說，時間序列資料存放區是針對以 時間為基礎的資料序列查詢予以最佳化，而圖表資料存放區則是針對瀏覽實體之間的加權關聯 性進行最佳化。 這兩種格式都無法完全適用於管理交易資料的工作。 • NoSQL 一詞所指的資料存放區不會使用 SQL 進行查詢，而是會改用其他程式設計語言和建構 來查詢資料  學到很多知識!!!  
053	W07	188	76	  PaaS：無須硬體成本、彈性效能擴展、全球靈活部屬、智能化維運  系統三層式架構：使用者電腦<\-->網頁伺服器<\-->應用伺服器<\-->資料庫伺服器  這次的課程是介紹關於SQL資料庫的內容，有詳細說明關於SQL與noSQL的差別，SQL是將資料記錄成表格，而noSQL則以另外一種形式呈現，像是圓餅圖或鍵值等等，兩者之間並沒有什麼好壞，每種資料適合的資料庫不一樣。  這次實作過程的一開始，我發現我的Azure for students帳戶被停用了，後來發現是因為不小心把它提供的免費容量用光了，上週建立的服務會消耗很大的資源量，但我也在課後刪除了，不是很確定是哪個服務消耗這麼多的資源，幸好這只是學生帳戶，若是使用個人帳戶做發開，沒注意到這部分的話，很容易就會荷包大失血，也讓我知道必須更小心這部分。  
054	W07	205	84	  這禮拜講師介紹的主題是Azure data service  現今，大數據分析、AI人工智慧非常流行，很多公司都想發展這個產業，所以客戶也面臨一些挑戰像是需要更多的硬體成本、效能低落等等，而雲端資料庫的好處就是可以讓客戶更專注於企業應用的開發，像是無須硬體成本、彈性效能擴張、全球靈活部屬、智能化維運。  講師還分享他的求學和求職的經驗，要我們不要輕言放棄，然號第二堂課教我們一步驟一步驟建立SQL Database，並比較NOSQL和SQL的優缺點，並沒有一定的選擇，而是看客戶的需求  
055	W07	272	100	  今天是由賈斯汀講師來為我們講解，雖然第一節課有稍微花些時間在自我介紹，但這個其實是非常好的一部分，可以讓我們認識講師的背景，以及講師是如何進入微軟公司的；藉由賈斯汀講師所說的建議，可以讓我們大四學生對未來有一些準備，大概對於雲端等系統有些認識。第二節課則是開始手動操作，讓學生跟著講師的步驟一一架設雲端資料庫，以及登入自己架設好的資料庫，之後再將賈斯汀講師的檔案拉進來，同時也在教導同學們如何解決一些問題，是非常實用的課程!  
056	W07	242	97	  經過這周講師精彩的演講之後，我真的收穫的非常多，不只是在專業的領域上，這周講師注重在未來到了社會上，我們應該要嘗試著多多不同面向的嘗試以及努力，因為在不同面向的嘗試之後，不只我們可以茲家更多不同領域的專業知識之外，更重要的是我們會學會如何處理不同的事情，並且處理得相當完善，也因此我們不能只生活在自己的舒適圈裏面，而是要盡力的去爭取不同的體驗經驗，來讓自己可以有更多的歷練以及經驗，謝謝這周講師的演講，真的讓我收穫良多。  
057	W07	209	85	  今天的講師非常的厲害，他今天跟我們介紹了關聯式以及非關聯式資料庫的差別以及應用， 我們之前在大三的時候就有修過資料庫的課，學過一些關聯式資料庫的查詢以及架設，像azure這種架構在雲端的關聯式資料庫在未來必定會成為一種主流的市場趨勢，公司不必再花額外的金錢加設伺服器以及機房。我覺得這堂課收穫很多，因為每次來講課的講師都告訴我們一些符合目前市場趨勢的技術，讓我們在大學的最後一年可以學會一些畢業之後馬上就能進入狀況，知道目前最新的技術。  
058	W07	240	97	  今天的主題是講SQL資料庫，資料庫在大三的課程中有簡單接觸過，所以也有一些基礎得概念，這堂課的講師除了介紹一般的SQL資料庫，也介紹NoSQL，這也是比較符合現在大數據資料的儲存模式，除了介紹資料庫的相關知識，講師也帶我們實際操作一遍，這也讓我的觀念更清楚，明白SQL的原理及操作，除了課堂上講的專業知識外，講師也分享一些有關他在微軟上班時的經驗，以及一些做人處事的態度，我覺得這些額外的東西是非常重要的，因為這也是我們出社會必定會經歷到的。  
059	W07	184	75	  這禮拜的講師小賈跟我們分享了他的心路歷程，提醒我們很多出社會該做的事， 我覺得蠻有收穫的，這週的內容也很好，講的是SQL跟Database，對我來說沒有這麼陌生，所以學起來還算順利，我覺得SQL是蠻實用的技能，我也比較不排斥學習SQL的相關內容，因為資料庫是大部份公司都會用到的東西，會SQL是非常有用的，到這週為止Azure的功能才介紹了一小部分，我真的覺得Azure是一間很厲害的公司，從每週的講師都不一樣可以看出來，一個人要完全精通Azure的所有服務基本上是不可能的，我只希望我上完這學期能夠對Azure更了解一點。  
060	W07	233	94	  今天的講師是說明SQL及NoSQL的李御安講師，他一開始先說了一些他進微軟的相關經歷，他告訴我們大四可以多找實習來充實自己，而我現在是大四確實對這方面有些煩惱。講師說要在企業界站的穩，最重要的是態度，這我非常認同，態度決定未來對公司是否帶來正面效益。我個人很喜歡聽講師說一些人生道理，我總能從中得到啟發。接下來是實作和今天主題有關的資料庫，教我們如何表單的頂端設定database屬性，了解效能硬體，也說明SQL及NoSQL之間的差別，資料庫在快速變化下，使用NoSQL彈性較高，若是傳統資料庫就可以使用SQL並沒有對錯之分，在講師詳細說明下我更能了解SQL及NoSQL!  
062	W07	233	94	  上完這堂課後，我感到非常的獲益良多，因為殭屍所演講的話題讓我非常認同，尤其是網路革新這一塊，他很詳細的解釋了，現在網路世代所遇到的問題，還有現在要當個聰明的網路人需要具備麼樣的才能，關於這些點我都非常的認同，我認為我們這一世代所遭遇的問題，已經跟以前大不如前了，我們應該要具備明寧才行，才不至於被這廣闊的網路海中所吞沒，另外講師還詳細的解說了大數據與區塊鍊的發展成因以及他們的未來展望，希望在不久的將來，我不管遭遇什麼困難都能迎刃而解，當個聰明的網路人。  
063	W07	249	98	  這次的講師也是資管系畢業後進入微軟工作的，但我覺得聽他講的內容中他的工作比較偏向專案管理經理的工作，要與客戶接洽洽談之類的，然後聽講師分享她剛進入微軟時十分辛苦，甚麼事情都要做，與他同期入公司的同事都受不了離職了，只有他撐了下來，才有今天的成就，關於這點我還是相當佩服的。  不過他似乎不太清楚前幾周的講師所演講的內容，有稍微重複講了關於Azure的觀念，但講師講的內容還是相當有深度的，我也在今天的演講內容中學到了很多。  
064	W07	182	74	               這禮拜介紹的是Azure Data Services-SQL & NoSQL的部分，根據講師所說的，Azure SQL Database 是可調整的智慧型雲端資料庫服務，微軟運用自家的技術，可以加速內部部署 SQL Server 移轉的速度，而不需變更受控執行個體的應用程式程式碼。隨時取得位於雲端的最新 SQL Server 功能和常保最新的 SQL 資料庫，而不必修補或升級。並且使用單一資料庫 (針對雲端中建立的 SQL 應用程式) 或彈性集區 (針對多租用戶應用程式)，享受額外的部署靈活性。而且他還內建機器學習的部分，讓使用者整體用起來更有靈活性，可以針對自己要的部分去做效能最大化。  
065	W07	156	63	  這次的講師是李御安，內容是Azure Data Services-SQL & NO SQL。  每次課後對課程內容也許沒有太大的印象，但是對講師分享的故事和工作上的啟發等等卻特別有印象。李御安講師建議我們打工應該打在對的地方，可以多多去實習，增廣見聞。他也分享在工作上，他剛進公司的時候，什麼事情都接下來做，不會因為麻煩、累而放棄或是婉拒，久了之後同事、上司對他的feedback也都不錯。而他認為訓練表達也是一件很重要的事，如果一個人技術很好，但是沒辦法很好的將想法傳達給別人，就會是一件很可惜的事情。  我覺得講師分享的這些觀念、經驗都能讓我們好好思考，對未來也都是很有幫助的。  這堂課主要介紹SQL和NO SQL，如果我們是要做比較傳統的系統，像是財務系統等等，會比較常用SQL。而用NO SQL的彈性比較高，也許我們還不確定要做的系統未來是長什麼樣子。在NO SQL中比較不會在意過程中產生的答案，指確保最後的結果、答案一樣就好，所以兩個人在過程中分別查到的可能會不一樣。NO SQL只在意效能好，一致性不太要求，最後結果一樣就好，而SQL則是在意一致性，過程需要一模一樣。  
066	W07	177	70	  這個禮拜講的是sql 以及 no sql 的不同及用法，我了解到不是每個專案都需要做資料庫，像是小型專案，若專案沒有太龐大的資料要存的話，選擇no sql 去做反而更快也更方便管理，no sql 通常會以jason去作為db存取資料，講師也實際帶我們操作sql，但由於時間不夠，比較想學的no sql ，反而沒時間實作，只有看講師示範，覺得很可惜。  
067	W07	168	66	  今天講師說明了現今客戶面臨到的挑戰，如需花許多硬體成本、維護運轉的不容易、需快速在全球進行部屬，甚至是有可能發生效能低落等情況，而漸漸將資料庫移往雲端中存放，改善成本支出、效能低落等問題。  而Azure的資料庫系統，Azure除了有常見的關聯式資料庫(SQL)之外，也還提供了非關聯式資料庫(NoSQL)給使用者。而Azure SQL Database是一個可調整的智慧型雲端資料庫服務，並且與SQL server引擎高相容性。此外，Azure也具備進階資料的安全性，可保護客戶的資料避免攻擊，建立一個多層的安全。  
068	W07	173	70	  這週的演講是 Azure Data Services – SQL & NoSQL ，SQL 是一種特定目的程式語言，用來管理關聯式資料庫管理系統或在關係流資料管理系統中進行流處理。SQL的範圍包括資料插入、查詢、更新和刪除，資料庫模式建立和修改，以及資料存取控制。儘管SQL經常被描述為，而且很大程度上是一種聲明式編程，但是其也含有程序式編程的元素。  NoSQL 資料庫採用各種資料模型 ，例如：文件、圖形、鍵值、內存和搜尋等，來存取和管理資料。這些類型的資料庫透過放寬傳統關聯式資料庫的一些資料一致性限制，特別針對需要大量資料、低延遲和彈性資料模型的應用程式進行優化。  SQL 是 Structured Query Language 的簡寫，就是指一套層次分明、規定清楚的查資料指令，而 NoSQL 是 Not Only SQL，除了 SQL 以外的查詢方法，都屬於後者。兩者存在許多顯著的不同點，其中最重要的是NoSQL不使用SQL作為查詢語言。其資料儲存可以不需要固定的表格模式，也經常會避免使用SQL的JOIN操作，一般有水平可延伸性的特徵。  
069	W07	223	89	  沒想到Azure也能夠作資料庫，上學期學習資料庫的課程時，以為資料庫僅是如此而已，接觸到了雲端資料庫後，簡直發現了新世界。如此一來，能夠有非常大的容量來架設並更新資料庫，不會侷限在硬體資料庫的器材以及維護所需花費的空間及金錢上，並且能夠處理大量快速變化的非結構化資料，其功能相當的強大。其中的NoSQL不像SQL只限於固定的資料模型，他也可以處理高結構化的資料，包含索引鍵、文件、單欄式以及圖表。如此方便的平台，以後建資料庫可以列入使用的考慮範圍。  
070	W07	195	81	  講座心得  今天講師講解的是資料庫，他先介紹詳細介紹關聯式資料庫與非關聯式資料庫的差異，關聯式資料庫主要是比較嚴謹的設定，資料庫需要先設定好所有屬性，但如果之後需要更改資料庫的屬性就可能需要先把資料庫停擺，對於一些比較重要的資料，像是用戶資料的話，會造成問題，資料庫如果停擺的話，可能就沒辦法進行登入，這樣網站就需暫停使用；而非關聯式資料庫主要是用JSON進行交換資料，就會解決關聯式資料庫的問題，但兩者的使用並沒有好壞，只是看所要儲存的資料是需要哪種類型而決定要使用哪種資料庫。  
071	W07	209	85	  最近大數據在資訊相關行業中是個十分火熱的話題，有許多地方只要可以運用到大數據就可以辦到許多以前沒辦法辦到的事，像是對於客戶的分析，或是更精確的股票預測等等，這些都是大數據的應用。Azure Data Services就是一個十分適合用來進行大數據分析的工具，不需變更受控執行個體的應用程式程式碼。隨時取得位於雲端的最新 SQL Server 功能和常保最新的 SQL 資料庫，而不必修補或升級，並且還內建機器學習，讓使用者可以事半功倍，因此我覺得在做事之前選對工具很重要。  
073	W07	232	93	  今天2019年10月22日企業雲端應用趨勢與實務這門課，謝謝魏老師再次請到這麼優秀的講師繼續延續Azure的介紹，這個講師教我們甚麼事NOSQL，以往我們都是使用SQL Server、MySQL等資料庫軟體來協助我們的資料庫處儲存，而 NOSQL與前述的資料庫有些許不同，NOSQL資料庫是一種非關聯式的資料庫，這樣的資料庫對於我們而言是陌生的，因為以往我們學的都是關聯式的資料庫，再次謝謝講師讓我們知道目前較為主流的NOSQL來讓我們在未來更知道如何操作，並在往後進入職場可以與社會接軌更為容易。  
074	W07	171	68	  今天的課程在介紹Azure Data Services – SQL & NoSQL，但在課程的一開始講師先跟我們分享在未來職涯上的一些建議，其中他認為最重要的兩個想法是—「做人比做事重要」還有「態度」。接著講師提到一些現今客戶容易遇到的挑戰，像是更多硬體成本、效能低落、需要快速全球部屬以及維運不易等問題，因為這些問題所以客戶開始需要運用雲端。Azure雲端資料庫的好處：無須硬體成本、彈性效能擴展、全球靈活部屬、智能化維運，這些好處讓客戶能夠更專注於企業應用的開發。關聯式資料庫就是很多個Table去做關聯，再透過SQL語法去查詢自己需要的東西。  
075	W07	234	95	  這次的講師操作的有點快，所以有點來不及用，在跟著操作的過程中，我發現我的雲端好像建置都會失敗，除此之外我覺得講解地的還不錯，而且簡報非常吸睛，就是講話速度有些快，講師們也會提供資料以便我們導入製作，非常細心。  聽了這麼多課之後，我開始稍微有對AZURE雲端介面操作有一定的了解了，雖然有100美金可以用，但有點捨不得XD  
076	W07	141	62	  這禮拜的講師為我們帶來的是SQL&NoSQL  一開始講師先介紹自己在微軟裡面是怎麼工作到現在  他說能做的事就盡量做 雖然會很累 但是時間久了 大家都會知道你是個很認真,努力的人 這時候你稍微放鬆一下 沒有人會懷疑你在偷懶(?)  總之講師的意思是多做多學 多幫助大家就可以了  講完自己的經歷之後 講師開始用ppt來講解sql和nosql之間的差別  我自己聽完之後 其實還是沒有很懂…  我理解到的是 sql非常嚴謹 而nosql比較寬鬆 且有容錯的空間 不會像sql錯一個地方就無法顯示結果  感覺有點複雜啊…  講完之後 講師直接用實例帶我們操作  Azure的db好貴啊…  不知道還能不能在微調價格  最後因為時間關係 無法作完 只能讓我們回去自己練習  
077	W07	206	84	  這禮拜的講座課程，是在教關於資料庫的課程，其實我覺得在上講座課程的時光過得特別快，也不知道是為什麼，講師教我們使用微軟Azure雲端關聯式資料，在動手實作的時候，先在Azure SQL Database中建立一個資料庫，接著講師帶我們介紹裡面的功能，和一些規則，講完後就又換我們動手去做做看了，我在這堂課並沒有跟不上的問題，是很難得的一件事情，在課堂的尾聲，講師像我們預告下一個禮拜會教的東西，希望在下一個禮拜，我也能像這個禮拜一樣，能聽懂講師在講的話，並跟上實作課程。  
078	W07	230	91	  今天的講師一開始分享了他大學時期求學的過程，他說他大四時積極去爭取外面實習的機會，去到了竹科實習，他也說到了態度非常重要，不管是學習態度還是工作態度，因為態度決定高度。此外，他也講到了Azure雲端資料庫(PaaS)的好處，包括無須 硬體成本，彈性效能擴展，全球靈活部屬，智能化維運……等，也講了許多關於資料庫的基本常識，也就是用很多table去做關連，找出需要的資料(關連式資料庫)，技術與日更新，必須時常去更新最新的資訊，才能跟上時代的演進。  
079	W07	180	73	  這週講的是Azure Data Service-SQL&NoSQL  首先老師先講述自己的經歷再來用影片介紹雲端是什麼。  AI統計學理論、演算法。資料分析。  Azure雲端資料庫PaaS：無須硬體成本、彈性效能擴張、全球靈活部屬、智能化維修。  網頁伺服器、應用伺服器、資料庫伺服器。  關聯式資料庫(DBMS)：應用SQL找出自己要的資料。  非關聯式資料庫(NoSQL)：不用SQL進行查詢。Document、Graph。  我的心得：  老師第一堂課主要做主題大概的介紹，第二堂課帶大家實作。首先像之前一樣先建立resource group。再來create SQL Database。create Server。Configure(效能部分)。Additional settings(Sample)再建立。  老師介紹了SQL和NoSQL的差異性，以及各自的優缺點，建立者會根據自己的需求選擇要用哪個。NoSQL在過程中結果可能會有所不同，只確保最後結果是相同的。  首先我覺得這個老師上課講得很清楚，步調也剛剛好，讓人容易跟上腳步。所以真的有學到東西。再來我也更清楚瞭解資料庫的部分，以及如何使用Azure來建立資料庫。也了解了為甚麼企業會使用Azure來做各種事情，就跟老師說的一樣，真的省了很多花費。還有一些之前聽過但不知道是什麼的專有名詞，也經由老師這次的介紹更清楚知道這些是什麼。這堂課真的學了很多東西，謝謝老師。  
080	W07	169	67	  今天請來的講師是微軟的李御安顧問，一開始老師先分享了自己的學經歷，老師雖然也是私立大學資管系畢業，但一畢業就進入微軟公司工作，也在微軟待了８年，而他本這些成就歸功於充實的大學四年，並跟我們分享如何在外商公司站穩腳步。而這禮拜老師先介紹了NoSQL和SQL的差別，還有普遍開發者使用的3-tier架構，最後也帶我們實作如何開啟Azure Data service，下禮拜是教Power BI，把數據視覺化的工具，很期待。  
081	W07	235	95	  這堂課老師講解很清楚，從一開始的職涯過程，讓我對外面企業的用人要求與產業環境有了簡單的輪廓，包括外商與台灣的差別以及做事的態度和雲端的重要性，使我期許自己可以增加更多的學習技能與多點實習，在之後找實習或工作時有更好的視野歷練。而之後的paas的講解，讓我先了解到了客戶的困難與服務所解決痛點的優勢，以及該特色與iaas和saas不同之處，在資料庫的簡單介紹也都清晰易懂，重點講解並且明顯區分關連與非關聯資料庫的差異。在實作方面，速度適中，講解清楚，也有例子實作加深印象，整體來說讓我學到了很多東西，對概念更有架構了  
082	W07	196	81	  這次的演講內容是Azure data platform、Azure 雲端資料庫(PaaS)  雲端儲存、big data、AI是現今的流行趨勢，不過也會碰到許多挑戰，包括成本、效能、維護及全球部屬等問題，像是許多企業會花很多成本架設機器在公司，但只要使用Virtural machine、雲端資料庫就可以解決以上這些問題，全球部屬更是一大優勢。今天這堂課的講師在微軟做了8年，並且是第一份工作，他告訴我們必須要對自己的工作有熱情、毅力，讓同事、主管的印象良好，堅持到最後必定會帶來最好的結果，我覺得是非常值得我們學習的態度。  
083	W07	193	79	  這堂講座讓我蠻有興趣的，是在講解有關資料庫方面的事情，因為當初我們自己在做專題時我們那時就有煩惱要用非關聯式資料庫還是關聯式的資料庫，這兩個讓我們取決不定，說實在的也不懂這兩著之間一些的差異在哪，今天聽完這堂講座，才知道原來不是所有的東西都可以適用NoSQL，NoSQL，我想最適合的就是收集數據吧，例如手機大部分都會默默地搜集使用著資料並且回傳，再統整並進行數據分析，這時候欄位就會有很多個，而且當你想追蹤新的時候，你就必須再去改一次資料庫，這樣真的不太優  
084	W07	181	73	  講師說在面對工作的時候最重要的就是態度，第一印象也很重要，在工作上也會比較輕鬆。  Azure Data Services – SQL & NoSQL是今天教的東西，雲端需要非常大的冷卻廠去冷卻機房，有時候還會用到海水。AI就是要很多演算法很多計算來去做分析。  客戶現今遇到的挑戰，有更多硬體成本、效能低落、快速全球部屬、維運不易，所以現在大家會開始去考慮使用雲端。雲端資料庫(PaaS)的好處，有無須硬體成本、彈性效能擴張、全球靈活部屬、智能化維運，剛好可以解決現今的問題。現在雲端真的是大勢，現在應該要多多學習雲端，以後出路比較好找。  
085	W07	166	66	  從現今遇到的挑戰介紹起，包含更多硬體成本、效能低落、快速全球部屬、維運不易等，還有Azure雲端資料庫的好處，讓客戶更專注於其業應用的開發，系統三層架構，使用者電腦、網頁伺服器、應用伺服器、資料庫伺服器，還有DBMS和NoSQL，資料平台領導者也就是微軟，涵蓋Azure Data Platform、 Azure SQL Database Service、Azure NoSQL Database Service，都是這次再探討的範圍，Cosmos也是後半部在討論的部分，最後的時間一樣是在Azure上的實作，每次教的部分都不一樣，也有不同的難度，在這堂課十分有收穫。  
086	W07	202	83	  這次是請到了講師Justin Li老師來為我們授課，非常感謝老師與講師，這次講師的授課內容是SQL&NoSQL，資料庫在大三的時候就有略懂，專題的時候也是負責資料庫的部分，資料庫也是非常重要的一個環節，講師這次講解了這兩種有何不同，並且教導了Azure裡面的SQL Database的功能，讓我們學習並且使用它，不過在課堂上因為時間的問題還是有些不熟練，不過講師也很貼心的給了我們相關檔案可以讓我們回去做練習，真是非常感謝，希望下次能再見到講師，並且收穫滿滿。  
087	W07	158	63	  課堂的一開始，講師先說了一句讓我印象深刻的話。他說：「其實他認為出社會後做人比做事重要。」我覺得這句話很值得我們省思。  後來開始授課後，講師講了SQL與NoSQL，其中包含他們兩者間的差別。像是NoSQL 一詞所指的資料存放區不會使用 SQL 進行查詢，而是會改用其他程式設計語言和建構 來查詢資料。除此之外也講解了開發者會在何時分別選擇使用SQL還是NoSQL，例如   使用無關、不確定或更改數據、數據庫與模式無關，而模式為由應用程序決定、處理大型或更改的數據集時都是使用NoSQL。  
088	W07	178	71	  今天邀請到的是李御安講師，講述的內容是Azure Data Services – SQL & NoSQL。一開始，李講師並沒有直接切入到資料庫的環節，而是先講述有關現行資訊的走向以及未來趨勢。他先從下列四點開始講述:1.社會經歷 & 職涯建議 2.Azure Data Platform 3.Azure SQL Database Service 4.Azure NoSQL Database Service.最讓我印象深刻的是Azure SQL Database Service的部分，他既方便而且兼顧安全，相當符合現在資安意識高漲的資訊時代；他又有自動備份、時間點還原、主動示異地複寫、自動容錯移轉群組及區域多於資料庫。大家可能會疑惑最後一點的用意，其實SQL Database 可讓客戶跨多個可用性區域佈建進階或業務關鍵資料庫或彈性集區。 因為這些資料庫和彈性集區有多個重複的複本可提供高可用性，所以將這些複本放在多個可用性區域中，可以提高復原能力。 這包括能夠從資料中心規模的失敗中自動復原，而不會遺失資料。  
089	W07	215	87	  在這節課當中我們了解到了在伺服器中建設資料庫的知識，像是如何在這裡連結SQL並且處理相關資料庫等等。由別於一直以來上課的老師，往往按著課本照本宣科，隨然看似有組織架構的感覺，但卻沒有比這樣由多元的上學習來的有效，在這堂課中，讓我覺得受益良多，甚至使得我在課程之後還會想要回家去稍為的研究在伺服器中建設資料庫的知識，我們都知道未來有關伺服器人工智慧相關的能力對我們這個科系勢必是必備的能力，也希望在這堂課中學習的一切能夠在未來的工作上用到!  
090	W07	180	73	  今天內容從名字來看，SQL 是 Structured Query Language 的簡寫，就是指一套層次分明、規定清楚的查資料指令，而 NoSQL 是 Not Only SQL，除了 SQL 以外的查詢方法，都屬於後者。單從字面就看出他們出現的先後，SQL 在前，NoSQL 在後。另外，「部分容忍性」是我覺得非常有趣的地方，從字面來看。可以解釋成，這是一種不完美苛求，而要能容忍部分錯誤（正確的反面多半為錯誤）的能力，技術層面來說就是資料庫在執行任務時，發現資料部分有遺失、不一致，並不會影響整個資料庫的運作。這次的內容我覺得非常的有趣。  
091	W07	172	68	  今天是請到Justin講師來為我們演講，今天我們上的是Azure Data Services-SQL- NOSQL的服務，先前開始也講述他的社會經歷，在大學以及職場上的經驗，讓我了解許多，其中課程在之前的演講也有提到，就是資料庫的東西，PaaS的好處以及DBMS、NoSQL等等，其實在我們大三的課程中都有學到，藉著這次的講解讓我更印象深刻和收取了不少知識，畢竟資料庫在資管系中是個不可取代的東西，希望能對我未來的工作上能如虎添翼。  
